fid,ID
1,51377277972
2,51377277973
3,51377277982
4,51377277983
5,51377277974
6,51377277984
7,51377277975
8,51377277985
9,51377277986
10,51377277992
11,51377277993
12,51377277994
13,51377277995
14,51377277996
15,51377277987
16,51377277997
17,51377277988
18,51377277998
19,51377277989
20,51377277999
21,51377278990
22,51377287902
23,51377287903
24,51377287904
25,51377287905
26,51377287906
27,51377287907
28,51377287908
29,51377287909
30,51377288900
31,51377278991
32,51377288901
33,51377278992
34,51377288902
35,51377288903
36,51377287912
37,51377287913
38,51377287914
39,51377287915
40,51377287916
41,51377287917
42,51377287918
43,51377287919
44,51377288910
45,51377287922
46,51377287923
47,51377287924
48,51377287925
49,51377287926
50,51377287927
51,51377287928
52,51377287929
53,51377288920
54,51377287932
55,51377287933
56,51377287934
57,51377287935
58,51377287936
59,51377287937
60,51377287938
61,51377287939
62,51377288930
63,51377287942
64,51377287943
65,51377287944
66,51377287945
67,51377287946
68,51377287947
69,51377287948
70,51377287949
71,51377288940
72,51377287952
73,51377287953
74,51377287954
75,51377287955
76,51377287956
77,51377287957
78,51377287958
79,51377287959
80,51377288950
81,51377287961
82,51377287962
83,51377287963
84,51377287964
85,51377287965
86,51377287966
87,51377287967
88,51377287968
89,51377287969
90,51377288960
91,51377287971
92,51377287972
93,51377287973
94,51377287974
95,51377287975
96,51377287976
97,51377287977
98,51377287978
99,51377287979
100,51377288970
101,51377287981
102,51377287982
103,51377287983
104,51377287984
105,51377287985
106,51377287986
107,51377287987
108,51377287988
109,51377287989
110,51377288980
111,51377287991
112,51377287992
113,51377287993
114,51377287994
115,51377287995
116,51377287996
117,51377287997
118,51377287998
119,51377287999
120,51377288990
121,51377297901
122,51377297902
123,51377297903
124,51377297904
125,51377297905
126,51377297906
127,51377297907
128,51377297908
129,51377297909
130,51377298900
131,51377288911
132,51377288912
133,51377288913
134,51377288904
135,51377288914
136,51377288905
137,51377288915
138,51377288916
139,51377288921
140,51377288922
141,51377288923
142,51377288924
143,51377288925
144,51377288926
145,51377288917
146,51377288927
147,51377288918
148,51377288928
149,51377288929
150,51377288931
151,51377288932
152,51377288933
153,51377288934
154,51377288935
155,51377288936
156,51377288937
157,51377288938
158,51377288939
159,51377289920
160,51377289930
161,51377288941
162,51377288942
163,51377288943
164,51377288944
165,51377288945
166,51377288946
167,51377288947
168,51377288948
169,51377288949
170,51377289940
171,51377288951
172,51377288952
173,51377288953
174,51377288954
175,51377288955
176,51377288956
177,51377288957
178,51377288958
179,51377288959
180,51377289950
181,51377288961
182,51377288962
183,51377288963
184,51377288964
185,51377288965
186,51377288966
187,51377288967
188,51377288968
189,51377288969
190,51377289960
191,51377288971
192,51377288972
193,51377288973
194,51377288974
195,51377288975
196,51377288976
197,51377288977
198,51377288978
199,51377288979
200,51377289970
201,51377288981
202,51377288982
203,51377288983
204,51377288984
205,51377288985
206,51377288986
207,51377288987
208,51377288988
209,51377288989
210,51377289980
211,51377288991
212,51377288992
213,51377288993
214,51377288994
215,51377288995
216,51377288996
217,51377288997
218,51377288998
219,51377288999
220,51377289990
221,51377298901
222,51377298902
223,51377298903
224,51377298904
225,51377298905
226,51377298906
227,51377298907
228,51377298908
229,51377298909
230,51377299900
231,51377289931
232,51377289941
233,51377289932
234,51377289942
235,51377289933
236,51377289943
237,51377289934
238,51377289944
239,51377289945
240,51377289951
241,51377289952
242,51377289953
243,51377289954
244,51377289955
245,51377289946
246,51377289956
247,51377289947
248,51377289957
249,51377289948
250,51377289958
251,51377289959
252,51377289961
253,51377289962
254,51377289963
255,51377289964
256,51377289965
257,51377289966
258,51377289967
259,51377289968
260,51377289969
261,51377380950
262,51377380960
263,51377289971
264,51377289972
265,51377289973
266,51377289974
267,51377289975
268,51377289976
269,51377289977
270,51377289978
271,51377289979
272,51377380970
273,51377289981
274,51377289982
275,51377289983
276,51377289984
277,51377289985
278,51377289986
279,51377289987
280,51377289988
281,51377289989
282,51377380980
283,51377289991
284,51377289992
285,51377289993
286,51377289994
287,51377289995
288,51377289996
289,51377289997
290,51377289998
291,51377289999
292,51377380990
293,51377299901
294,51377299902
295,51377299903
296,51377299904
297,51377299905
298,51377299906
299,51377299907
300,51377299908
301,51377299909
302,51377390900
303,51377294959
304,51377294968
305,51377294969
306,51377295950
307,51377295960
308,51377294966
309,51377294967
310,51377294975
311,51377294976
312,51377294977
313,51377294978
314,51377294979
315,51377295970
316,51377294974
317,51377294984
318,51377294985
319,51377294986
320,51377294987
321,51377294988
322,51377294989
323,51377295980
324,51377294994
325,51377294995
326,51377294996
327,51377294997
328,51377294998
329,51377294999
330,51377295990
331,52370204905
332,52370204906
333,52370204907
334,52370204908
335,52370204909
336,52370205900
337,51377295928
338,51377295929
339,51377295937
340,51377295938
341,51377295939
342,51377296920
343,51377296930
344,51377295935
345,51377295936
346,51377295944
347,51377295945
348,51377295946
349,51377295947
350,51377295948
351,51377295949
352,51377296940
353,51377295941
354,51377295942
355,51377295951
356,51377295952
357,51377295943
358,51377295953
359,51377295954
360,51377295955
361,51377295956
362,51377295957
363,51377295958
364,51377295959
365,51377296950
366,51377295961
367,51377295962
368,51377295963
369,51377295964
370,51377295965
371,51377295966
372,51377295967
373,51377295968
374,51377295969
375,51377296960
376,51377295971
377,51377295972
378,51377295973
379,51377295974
380,51377295975
381,51377295976
382,51377295977
383,51377295978
384,51377295979
385,51377296970
386,51377295981
387,51377295982
388,51377295983
389,51377295984
390,51377295985
391,51377295986
392,51377295987
393,51377295988
394,51377295989
395,51377296980
396,51377295991
397,51377295992
398,51377295993
399,51377295994
