fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
21614,52371353999,,,,39951,39951,,,,1,,,1
21615,52371354990,,,,39819,39819,,,,1,,,1
21616,52371363901,,,,39975,39975,,,,1,,,1
21617,52371363902,,,,39914,39914,,,,1,,,1
21618,52371363903,,,,39830,39830,,,,1,,,1
21619,52371363904,,,,39756,39756,,,,1,,,1
21620,52371363905,,,,39674,39674,,,,1,,,1
21621,52371363906,,,,39581,39581,,,,1,,,1
21622,52371363907,,,,35266,39520,,,,1,,,1
21623,52371363908,,,,39437,39437,,,,1,,,1
21624,52371363909,,,,39332,39332,,,,1,,,1
21625,52371364900,,,,39205,39205,,,,1,,,1
21626,52371354911,,,,44853,44853,,,,1,,,1
21627,52371354912,,,,44659,44659,,,,1,,,1
21628,52371354913,,,,44502,44502,,,,,,,0
21629,52371354914,,,,44315,44315,,,,,,,1
21630,52371354915,,,,44275,44275,,,,,,,0
21631,52371354916,,,,44208,44208,,,,,,,0
21632,52371354917,,,,44110,44110,,,,,,,1
21633,52371354918,,,,43983,43983,,,,,,,1
21634,52371354919,,,,43828,43828,,,,,,,1
21635,52371355910,,,,43644,43644,,,,,,,1
21636,52371354921,,,,44173,44173,,,,1,,,1
21637,52371354922,,,,43968,43968,,,,1,,,1
21638,52371354923,,,,43817,43817,,,,1,,,1
21639,52371354924,,,,43639,43639,,,,1,,,1
21640,52371354925,,,,43582,43582,,,,,,,1
21641,52371354926,,,,43518,43518,,,,,,,1
21642,52371354927,,,,43425,43425,,,,,,,1
21643,52371354928,,,,43303,43303,,,,,,,0
21644,52371354929,,,,43154,43154,,,,,,,0
21645,52371355920,,,,42978,42978,,,,,,,1
21646,52371354931,,,,43501,43501,,,,,,,1
21647,52371354932,,,,43286,43286,,,,,,,1
21648,52371354933,,,,43142,43142,,,,,,,1
21649,52371354934,,,,42971,42971,,,,,,,1
21650,52371354935,,,,42900,42900,,,,,,,1
21651,52371354936,,,,42838,42838,,,,,,,1
21652,52371354937,,,,42748,42748,,,,,,,1
21653,52371354938,,,,42632,42632,,,,,,,0
21654,52371354939,,,,42489,42489,,,,,,,0
21655,52371355930,,,,42320,42320,,,,,,,1
21656,52371354941,,,,42840,42840,,,,,,,1
21657,52371354942,,,,42626,42626,,,,,,,1
21658,52371354943,,,,42477,42477,,,,,,,1
21659,52371354944,,,,42313,42313,,,,,,,1
21660,52371354945,,,,42228,42228,,,,,,,1
21661,52371354946,,,,42169,42169,,,,,,,1
21662,52371354947,,,,42083,42083,,,,,,,1
21663,52371354948,,,,41972,41972,,,,,,,1
21664,52371354949,,,,41834,41834,,,,,,,0
21665,52371355940,,,,41672,41672,,,,,,,0
21666,52371354951,,,,42187,42187,,,,,,,1
21667,52371354952,,,,41983,41983,,,,,,,1
21668,52371354953,,,,41822,41822,,,,,,,1
21669,52371354954,,,,41665,41665,,,,,,,1
21670,52371354955,,,,41567,41567,,,,,,,1
21671,52371354956,,,,41511,41511,,,,,,,0
21672,52371354957,,,,41428,41428,,,,,,,1
21673,52371354958,,,,41321,41321,,,,,,,1
21674,52371354959,,,,41189,41189,,,,,,,1
21675,52371355950,,,,41034,41034,,,,,,,1
21676,52371354961,,,,41543,41543,,,,,,,0
21677,52371354962,,,,41346,41346,,,,,,,1
21678,52371354963,,,,41176,41176,,,,,,,1
21679,52371354964,,,,41025,41025,,,,,,,1
21680,52371354965,,,,40916,40916,,,,,,,1
21681,52371354966,,,,40862,40862,,,,,,,1
21682,52371354967,,,,40783,40783,,,,,,,0
21683,52371354968,,,,40680,40680,,,,,,,1
21684,52371354969,,,,40553,40553,,,,,,,1
21685,52371355960,,,,40404,40404,,,,,,,1
21686,52371354971,,,,40908,40908,,,,,,,0
21687,52371354972,,,,40719,40719,,,,,,,1
21688,52371354973,,,,40540,40540,,,,,,,1
21689,52371354974,,,,40395,40395,,,,,,,1
21690,52371354975,,,,40276,40276,,,,,,,1
21691,52371354976,,,,40223,40223,,,,,,,1
21692,52371354977,,,,40147,40147,,,,,,,1
21693,52371354978,,,,40048,40048,,,,,,,1
21694,52371354979,,,,39927,39927,,,,,,,1
21695,52371355970,,,,39783,39783,,,,,,,1
21696,52371354981,,,,40283,40283,,,,1,,,1
21697,52371354982,,,,40101,40101,,,,,,,1
21698,52371354983,,,,39914,39914,,,,,,,1
21699,52371354984,,,,39774,39774,,,,,,,1
21700,52371354985,,,,39645,39645,,,,,,,1
21701,52371354986,,,,39595,39595,,,,,,,1
21702,52371354987,,,,39522,39522,,,,,,,1
21703,52371354988,,,,39427,39427,,,,,,,1
21704,52371354989,,,,39310,39310,,,,,,,1
21705,52371355980,,,,39172,39172,,,,,,,1
21706,52371354991,,,,39665,39665,,,,1,,,1
21707,52371354992,,,,39490,39490,,,,,,,1
21708,52371354993,,,,39296,39296,,,,,,,1
21709,52371354994,,,,39161,39161,,,,,,,1
21710,52371354995,,,,39024,39024,,,,,,,1
21711,52371354996,,,,38975,38975,,,,,,,1
21712,52371354997,,,,38905,38905,,,,,,,1
21713,52371354998,,,,38814,38814,,,,,,,1
